ID	housepriceofunitArea_Y	houseAge X1	numberofConvenienceStores X2	DistanceToNearestTransitStation x3
1	37.9	32	10	84.87882
2	42.2	19.5	9	306.5947
3	47.3	13.3	5	561.9845
4	54.8	13.3	5	561.9845
5	43.1	5	5	390.5684
6	32.1	7.1	3	2175.03
7	40.3	34.5	7	623.4731
8	46.7	20.3	6	287.6025
9	18.8	31.7	1	5512.038
10	22.1	17.9	3	1783.18
11	41.4	34.8	1	405.2134
12	58.1	6.3	9	90.45606
13	39.3	13	5	492.2313
14	23.8	20.4	4	2469.645
15	34.3	13.2	4	1164.838
16	50.5	35.7	2	579.2083
17	70.1	0	6	292.9978
18	37.4	17.7	1	350.8515
19	42.3	16.9	8	368.1363
20	47.7	1.5	7	23.38284
21	29.3	4.5	3	2275.877
22	51.6	10.5	7	279.1726
23	24.6	14.7	1	1360.139
24	47.9	10.1	7	279.1726
25	38.8	39.6	4	480.6977
26	27	29.3	2	1487.868
27	56.2	3.1	5	383.8624
28	33.6	10.4	5	276.449
29	47	19.2	4	557.478
30	57.1	7.1	5	451.2438
31	22.1	25.9	0	4519.69
32	25	29.6	7	769.4034
33	34.2	37.9	1	488.5727
34	49.3	16.5	6	323.655
35	55.1	15.4	7	205.367
36	27.3	13.9	0	4079.418
37	22.9	14.7	2	1935.009
38	25.3	12	1	1360.139
39	47.7	3.1	6	577.9615
40	46.2	16.2	5	289.3248
41	15.9	13.6	0	4082.015
42	18.2	16.8	0	4066.587
43	34.7	36.1	5	519.4617
44	34.1	34.4	6	512.7871
45	53.9	2.7	4	533.4762
46	38.3	36.6	8	488.8193
47	42	21.7	9	463.9623
48	61.5	35.9	3	640.7391
49	13.4	24.2	0	4605.749
50	13.2	29.4	1	4510.359
51	44.2	21.7	4	512.5487
52	20.7	31.3	1	1758.406
53	27	32.1	3	1438.579
54	38.9	13.3	5	492.2313
55	51.7	16.1	5	289.3248
56	13.7	31.7	0	1160.632
57	41.9	33.6	8	371.2495
58	53.5	3.5	7	56.47425
59	22.6	30.3	1	4510.359
60	42.4	13.3	5	336.0532
61	21.3	11	2	1931.207
62	63.2	5.3	6	259.6607
63	27.7	17.2	3	2175.877
64	55	2.6	4	533.4762
65	25.3	17.5	0	995.7554
66	44.3	40.1	8	123.7429
67	50.7	1	6	193.5845
68	56.8	8.5	5	104.8101
69	36.2	30.4	6	464.223
70	42	12.5	5	561.9845
71	59	6.6	9	90.45606
72	40.8	35.5	3	640.7391
73	36.3	32.5	8	424.5442
74	20	13.8	0	4082.015
75	54.4	6.8	10	379.5575
76	29.5	12.3	1	1360.139
77	36.8	35.9	3	616.4004
78	25.6	20.5	3	2185.128
79	29.8	38.2	2	552.4371
80	26.5	18	1	1414.837
81	40.3	11.8	4	533.4762
82	36.8	30.8	6	377.7956
83	48.1	13.2	7	150.9347
84	17.7	25.3	3	2707.392
85	43.7	15.1	7	383.2805
86	50.8	0	9	338.9679
87	27	1.8	1	1455.798
88	18.3	16.9	0	4066.587
89	48	8.9	0	1406.43
90	25.3	23	0	3947.945
91	45.4	0	1	274.0144
92	43.2	9.1	0	1402.016
93	21.8	20.6	4	2469.645
94	16.1	31.9	0	1146.329
95	41	40.9	5	167.5989
96	51.8	8	5	104.8101
97	59.5	6.4	9	90.45606
98	34.6	28.4	3	617.4424
99	51	16.4	5	289.3248
100	62.2	6.4	9	90.45606
101	38.2	17.5	4	964.7496
102	32.9	12.7	1	170.1289
103	54.4	1.1	6	193.5845
104	45.7	0	6	208.3905
105	30.5	32.7	6	392.4459
106	71	0	6	292.9978
107	47.1	17.2	8	189.5181
108	26.6	12.2	1	1360.139
109	34.1	31.4	2	592.5006
110	28.4	4	3	2147.376
111	51.6	8.1	5	104.8101
112	39.4	33.3	7	196.6172
113	23.1	9.9	3	2102.427
114	7.6	14.8	6	393.2606
115	53.3	30.6	8	143.8383
116	46.4	20.6	2	737.9161
117	12.2	30.9	1	6396.283
118	13	13.6	0	4197.349
119	30.6	25.3	3	1583.722
120	59.6	16.6	5	289.3248
121	31.3	13.3	5	492.2313
122	48	13.6	5	492.2313
123	32.5	31.5	4	414.9476
124	45.5	0	0	185.4296
125	57.4	9.9	7	279.1726
126	48.6	1.1	6	193.5845
127	62.9	38.6	4	804.6897
128	55	3.8	5	383.8624
129	60.7	41.3	6	124.9912
130	41	38.5	7	216.8329
131	37.5	29.6	8	535.527
132	30.7	4	3	2147.376
133	37.5	26.6	5	482.7581
134	39.5	18	8	373.3937
135	42.2	33.4	6	186.9686
136	20.8	18.9	0	1009.235
137	46.8	11.4	5	390.5684
138	47.4	13.6	6	319.0708
139	43.5	10	0	942.4664
140	42.5	12.9	5	492.2313
141	51.4	16.2	5	289.3248
142	28.9	5.1	3	1559.827
143	37.5	19.8	5	640.6071
144	40.1	13.6	5	492.2313
145	28.4	11.9	1	1360.139
146	45.5	2.1	5	451.2438
147	52.2	0	0	185.4296
148	43.2	3.2	8	489.8821
149	45.1	16.4	0	3780.59
150	39.7	34.9	8	179.4538
151	48.5	35.8	7	170.7311
152	44.7	4.9	9	387.7721
153	28.9	12	1	1360.139
154	40.9	6.5	6	376.1709
155	20.7	16.9	0	4066.587
156	15.6	13.8	0	4082.015
157	18.3	30.7	0	1264.73
158	35.6	16.1	4	815.9314
159	39.4	11.6	5	390.5684
160	37.4	15.5	4	815.9314
161	57.8	3.5	8	49.66105
162	39.6	19.2	3	616.4004
163	11.6	16	0	4066.587
164	55.5	8.5	5	104.8101
165	55.2	0	0	185.4296
166	30.6	13.7	1	1236.564
167	73.6	0	6	292.9978
168	43.4	28.2	8	330.0854
169	37.4	27.6	5	515.1122
170	23.5	8.4	1	1962.628
171	14.4	24	0	4527.687
172	58.8	3.6	5	383.8624
173	58.1	6.6	9	90.45606
174	35.1	41.3	4	401.8807
175	45.2	4.3	7	432.0385
176	36.5	30.2	3	472.1745
177	19.2	13.9	0	4573.779
178	42	33	9	181.0766
179	36.7	13.1	4	1144.436
180	42.6	14	1	438.8513
181	15.5	26.9	0	4449.27
182	55.9	11.6	8	201.8939
183	23.6	13.5	3	2147.376
184	18.8	17	0	4082.015
185	21.8	14.1	0	2615.465
186	21.5	31.4	3	1447.286
187	25.7	20.9	3	2185.128
188	22	8.9	0	3078.176
189	44.3	34.8	8	190.0392
190	20.5	16.3	0	4066.587
191	42.3	35.3	8	616.5735
192	37.8	13.2	2	750.0704
193	42.7	43.8	7	57.58945
194	49.3	9.7	5	421.479
195	29.3	15.2	0	3771.895
196	34.6	15.2	5	461.1016
197	36.6	22.8	2	707.9067
198	48.2	34.4	8	126.7286
199	39.1	34	7	157.6052
200	31.6	18.2	8	451.6419
201	25.5	17.4	0	995.7554
202	45.9	13.1	5	561.9845
203	31.5	38.3	3	642.6985
204	46.1	15.6	5	289.3248
205	26.6	18	1	1414.837
206	21.4	12.8	3	1449.722
207	44	22.2	10	379.5575
208	34.2	38.5	3	665.0636
209	26.2	11.5	1	1360.139
210	40.9	34.8	8	175.6294
211	52.2	5.2	5	390.5684
212	43.5	0	1	274.0144
213	31.1	17.6	2	1805.665
214	58	6.2	9	90.45606
215	20.9	18.1	3	1783.18
216	48.1	19.2	8	383.7129
217	39.7	37.8	1	590.9292
218	40.8	28	6	372.6242
219	43.8	13.6	5	492.2313
220	40.2	29.3	8	529.7771
221	78.3	37.2	9	186.5101
222	38.5	9	0	1402.016
223	48.5	30.6	10	431.1114
224	42.3	9.1	0	1402.016
225	46	34.5	6	324.9419
226	49	1.1	6	193.5845
227	12.8	16.5	0	4082.015
228	40.2	32.4	8	265.0609
229	46.6	11.9	0	3171.329
230	19	31	0	1156.412
231	33.4	4	3	2147.376
232	14.7	16.2	0	4074.736
233	17.4	27.1	1	4412.765
234	32.4	39.7	9	333.3679
235	23.9	8	4	2216.612
236	39.3	12.9	7	250.631
237	61.9	3.6	10	373.8389
238	39	13	0	732.8528
239	40.6	12.8	0	732.8528
240	29.7	18.1	0	837.7233
241	28.8	11	2	1712.632
242	41.4	13.7	7	250.631
243	33.4	2	3	2077.39
244	48.2	32.8	8	204.1705
245	21.7	4.8	3	1559.827
246	40.8	7.5	5	639.6198
247	40.6	16.4	6	389.8219
248	23.1	21.7	0	1055.067
249	22.3	19	0	1009.235
250	15	18	1	6306.153
251	30	39.2	7	424.7132
252	13.8	31.7	0	1159.454
253	52.7	5.9	9	90.45606
254	25.9	30.4	2	1735.595
255	51.8	1.1	5	329.9747
256	17.4	31.5	1	5512.038
257	26.5	14.6	1	339.2289
258	43.9	17.3	1	444.1334
259	63.3	0	6	292.9978
260	28.8	17.7	0	837.7233
261	30.7	17	4	1485.097
262	24.4	16.2	3	2288.011
263	53	15.9	5	289.3248
264	31.7	3.9	3	2147.376
265	40.6	32.6	7	493.657
266	38.1	15.7	4	815.9314
267	23.7	17.8	3	1783.18
268	41.1	34.7	5	482.7581
269	40.1	17.2	5	390.5684
270	23	17.6	0	837.7233
